Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"10001, USA",09/01/2020,76.6,66.8,71.3,,,0.2,0,0,9.5,74.68,19.7,8.8,59.7,79.89,"Rain, Partially cloudy"
"10001, USA",09/02/2020,78.7,69.4,74,,,0.11,0,0,7.4,81.45,,8.2,75.9,87.64,"Rain, Overcast"
"10001, USA",09/03/2020,84.7,71.5,77.2,,84.9,0.38,0,0,6.9,134.59,,8.3,41.3,70.28,"Rain, Partially cloudy"
"10001, USA",09/04/2020,84.6,69.4,76.5,,86.5,0,0,0,10.1,178.83,17.2,8.3,11.3,66.45,Clear
"10001, USA",09/05/2020,78.8,65.6,72.2,,,0,0,0,8.2,156.5,,9.9,12.2,48.31,Clear
"10001, USA",09/06/2020,80.9,66.2,73,,80.8,0,0,0,6.9,235.67,,9.9,7.3,57.83,Clear
"10001, USA",09/07/2020,78.5,67.1,72.5,,,0,0,0,8.1,131.17,19.7,9.9,3.9,68.6,Clear
"10001, USA",09/08/2020,82.9,68.4,74.5,,84.9,0,0,0,9.2,102.04,,9.9,25.8,72.06,Partially cloudy
"10001, USA",09/09/2020,80.2,69.5,74.8,,82.3,0,0,0,6,55.92,,9.9,22.5,78.08,Clear
"10001, USA",09/10/2020,81.3,73.1,76.2,,86.3,0.77,0,0,6.9,80.46,,7.4,71.4,89.09,"Rain, Partially cloudy"
"10001, USA",09/11/2020,76.4,66.3,72.5,,,0.01,0,0,10.1,49.67,38,8.9,58.3,72.42,"Rain, Partially cloudy"
"10001, USA",09/12/2020,74,62.1,66.5,,,0,0,0,9.3,60.52,17.2,9.9,52.7,66.46,Partially cloudy
"10001, USA",09/13/2020,74.6,61.7,69.1,,,0,0,0,11.4,93.08,16.1,9.9,67.5,77.53,Partially cloudy
"10001, USA",09/14/2020,75.5,62.5,71.1,,,0,0,0,8,137.44,20.8,9.9,28.2,58.85,Partially cloudy
"10001, USA",09/15/2020,66.7,54.4,60.3,,,0,0,0,11.4,59.38,22,9.9,0,53.4,Clear
"10001, USA",09/16/2020,70.6,57.3,64.1,,,0,0,0,12.8,164.71,20.8,9.9,12.8,67.08,Clear
"10001, USA",09/17/2020,74.4,64.4,69.3,,,0,0,0,6.5,133.71,,9.9,38.7,75.14,Partially cloudy
"10001, USA",09/18/2020,71.9,60.5,66,,,0,0,0,10.6,69,21.9,9.9,40,61.41,Partially cloudy
"10001, USA",09/19/2020,63.6,50.5,57.2,,,0,0,0,15.4,66.41,25.6,9.9,0,36.99,Clear
"10001, USA",09/20/2020,64.4,50.5,56.8,,,0,0,0,10.4,47.3,24.2,9.9,0,37.73,Clear
"10001, USA",09/21/2020,64.8,50.7,57.6,,,0,0,0,10.9,65.54,21.9,9.9,0,44.79,Clear
"10001, USA",09/22/2020,71.8,49.5,60.8,49.1,,0,0,0,6.7,99.79,18.3,9.9,0,44.42,Clear
"10001, USA",09/23/2020,79.6,58.2,68.6,,,0,0,0,13,191.17,21.9,9.9,2.8,48.33,Clear
"10001, USA",09/24/2020,75,62.5,69.1,,,0,0,0,6,169.58,,9.9,0,57.18,Clear
"10001, USA",09/25/2020,77.1,63.1,69.1,,,0,0,0,4.8,129.54,,8.2,0,71.41,Clear
"10001, USA",09/26/2020,73.4,65.1,69.2,,,0,0,0,7.1,91.18,16.1,9.3,45.3,78.26,Partially cloudy
"10001, USA",09/27/2020,79.2,67,72.4,,,0,0,0,5.8,61.64,,9.2,77.8,80.93,Overcast
"10001, USA",09/28/2020,77.4,69.2,72.2,,,0.06,0,0,11.4,142.14,41.4,9.1,51.7,83.14,"Rain, Partially cloudy"
"10001, USA",09/29/2020,73.2,68.1,70.6,,,0.2,0,0,9.2,98.39,19.7,8,59.8,88.22,"Rain, Partially cloudy"
"10001, USA",09/30/2020,71.1,60.4,65.7,,,1.18,0,0,15,224.1,27.7,8.4,44.4,71.2,"Rain, Partially cloudy"
